COUNTRY	ECDC
Algeria	Algeria
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Angola	Angola
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina_Faso
Burundi	Burundi
Cameroon	Cameroon
Cameroon	Cameroon
Cameroon	Cameroon
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Cape Verde	Cape_Verde
Central African Republic	Central_African_Republic
Chad	Chad
Comoros	NA
Comoros	NA
Comoros	NA
Comoros	NA
Congo-Brazzaville	Congo
Cote d`Ivoire	Cote_dIvoire
Cote d`Ivoire	Cote_dIvoire
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Democratic Republic of Congo	Democratic_Republic_of_the_Congo
Djibouti	Djibouti
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Egypt	Egypt
Equatorial Guinea	Equatorial_Guinea
Equatorial Guinea	Equatorial_Guinea
Equatorial Guinea	Equatorial_Guinea
Equatorial Guinea	Equatorial_Guinea
Equatorial Guinea	Equatorial_Guinea
Eritrea	Eritrea
Eritrea	Eritrea
Eritrea	Eritrea
Eritrea	Eritrea
