ID	CODE	COUNTRY
318	GAM	Gambia
1	ALG	Algeria
2	ANG	Angola
20	BEN	Benin
21	BOT	Botswana
22	BUF	Burkina Faso
23	BUR	Burundi
24	CAM	Cameroon
64	DJI	Djibouti
65	EGY	Egypt
42	CAR	Central African Republic
43	CHA	Chad
51	ZAI	Democratic Republic of Congo
48	CNG	Congo-Brazzaville
49	CDI	Cote d`Ivoire
166	EQG	Equatorial Guinea
171	ERI	Eritrea
312	ETH	Ethiopia
313	GAB	Gabon
353	GHA	Ghana
354	GIN	Guinea
374	GUB	Guinea-Bissau
424	KEN	Kenya
445	LES	Lesotho
446	LIB	Liberia
447	LAJ	Libya
448	MAD	Madagascar
531	MAA	Malawi
535	MAL	Mali
536	MAU	Mauritania
546	MOR	Morocco
547	MOZ	Mozambique
642	SIL	Sierra Leone
618	NAM	Namibia
625	NIG	Niger
626	NIR	Nigeria
630	RWA	Rwanda
636	SEN	Senegal
673	SOM	Somalia
688	SOU	South Africa
700	SSU	South Sudan
701	SUD	Sudan
702	SWA	Swaziland
703	TAN	Tanzania
755	TOG	Togo
756	TUN	Tunisia
760	UGA	Uganda
761	WES	Western Sahara
762	ZAM	Zambia
763	ZIM	Zimbabwe
